"names.att","data.attributes"
"landmass","integer"
"zone","integer"
"area","numeric"
"population","numeric"
"language","integer"
"religion","integer"
"bars","numeric"
"stripes","numeric"
"colours","numeric"
"circles","numeric"
"crosses","numeric"
"saltires","numeric"
"quarters","numeric"
"sunstars","numeric"
"crescent","integer"
"triangle","integer"
"icon","integer"
"animate","integer"
"text","integer"
"red","{0,1}"
"green","{0,1}"
"blue","{0,1}"
"yellow","{0,1}"
"white","{0,1}"
"black","{0,1}"
"orange","{0,1}"
