"arquivo.attributesIndexes","names.att","arquivo.attributes"
1,"Att1","numeric"
2,"Att2","numeric"
3,"Att3","numeric"
4,"Att4","numeric"
5,"Att5","numeric"
6,"Att6","numeric"
7,"Att7","numeric"
8,"Att8","numeric"
9,"Att9","numeric"
10,"Att10","numeric"
11,"Att11","numeric"
12,"Att12","numeric"
13,"Att13","numeric"
14,"Att14","numeric"
15,"Att15","numeric"
16,"Att16","numeric"
17,"Att17","numeric"
18,"Att18","numeric"
19,"Att19","numeric"
20,"Att20","numeric"
21,"Att21","numeric"
22,"Att22","numeric"
23,"Att23","numeric"
24,"Att24","numeric"
25,"Att25","numeric"
26,"Att26","numeric"
27,"Att27","numeric"
28,"Att28","numeric"
29,"Att29","numeric"
30,"Att30","numeric"
31,"Att31","numeric"
32,"Att32","numeric"
33,"Att33","numeric"
34,"Att34","numeric"
35,"Att35","numeric"
36,"Att36","numeric"
37,"Att37","numeric"
38,"Att38","numeric"
39,"Att39","numeric"
40,"Att40","numeric"
41,"Att41","numeric"
42,"Att42","numeric"
43,"Att43","numeric"
44,"Att44","numeric"
45,"Att45","numeric"
46,"Att46","numeric"
47,"Att47","numeric"
48,"Att48","numeric"
49,"Att49","numeric"
50,"Att50","numeric"
51,"Att51","numeric"
52,"Att52","numeric"
53,"Att53","numeric"
54,"Att54","numeric"
55,"Att55","numeric"
56,"Att56","numeric"
57,"Att57","numeric"
58,"Att58","numeric"
59,"Att59","numeric"
60,"Att60","numeric"
61,"Att61","numeric"
62,"Att62","numeric"
63,"Att63","numeric"
64,"Att64","numeric"
65,"Att65","numeric"
66,"Att66","numeric"
67,"Att67","numeric"
68,"Att68","numeric"
69,"Att69","numeric"
70,"Att70","numeric"
71,"Att71","numeric"
72,"Att72","numeric"
73,"Att73","numeric"
74,"Att74","numeric"
75,"Att75","numeric"
76,"Att76","numeric"
77,"Att77","numeric"
78,"Att78","numeric"
79,"Att79","numeric"
80,"Att80","numeric"
81,"Att81","numeric"
82,"Att82","numeric"
83,"Att83","numeric"
84,"Att84","numeric"
85,"Att85","numeric"
86,"Att86","numeric"
87,"Att87","numeric"
88,"Att88","numeric"
89,"Att89","numeric"
90,"Att90","numeric"
91,"Att91","numeric"
92,"Att92","numeric"
93,"Att93","numeric"
94,"Att94","numeric"
95,"Att95","numeric"
96,"Att96","numeric"
97,"Att97","numeric"
98,"Att98","numeric"
99,"Att99","numeric"
100,"Att100","numeric"
101,"Att101","numeric"
102,"Att102","numeric"
103,"Att103","numeric"
104,"Att104","numeric"
105,"Att105","numeric"
106,"Att106","numeric"
107,"Att107","numeric"
108,"Att108","numeric"
109,"Att109","numeric"
110,"Att110","numeric"
111,"Att111","numeric"
112,"Att112","numeric"
113,"Att113","numeric"
114,"Att114","numeric"
115,"Att115","numeric"
116,"Att116","numeric"
117,"Att117","numeric"
118,"Att118","numeric"
119,"Att119","numeric"
120,"Att120","numeric"
121,"Att121","numeric"
122,"Att122","numeric"
123,"Att123","numeric"
124,"Att124","numeric"
125,"Att125","numeric"
126,"Att126","numeric"
127,"Att127","numeric"
128,"Att128","numeric"
129,"Att129","numeric"
130,"Att130","numeric"
131,"Att131","numeric"
132,"Att132","numeric"
133,"Att133","numeric"
134,"Att134","numeric"
135,"Att135","numeric"
136,"Att136","numeric"
137,"Att137","numeric"
138,"Att138","numeric"
139,"Att139","numeric"
140,"Att140","numeric"
141,"Att141","numeric"
142,"Att142","numeric"
143,"Att143","numeric"
144,"Att144","numeric"
145,"Att145","numeric"
146,"Att146","numeric"
147,"Att147","numeric"
148,"Att148","numeric"
149,"Att149","numeric"
150,"Att150","numeric"
151,"Att151","numeric"
152,"Att152","numeric"
153,"Att153","numeric"
154,"Att154","numeric"
155,"Att155","numeric"
156,"Att156","numeric"
157,"Att157","numeric"
158,"Att158","numeric"
159,"Att159","numeric"
160,"Att160","numeric"
161,"Att161","numeric"
162,"Att162","numeric"
163,"Att163","numeric"
164,"Att164","numeric"
165,"Att165","numeric"
166,"Att166","numeric"
167,"Att167","numeric"
168,"Att168","numeric"
169,"Att169","numeric"
170,"Att170","numeric"
171,"Att171","numeric"
172,"Att172","numeric"
173,"Att173","numeric"
174,"Att174","numeric"
175,"Att175","numeric"
176,"Att176","numeric"
177,"Att177","numeric"
178,"Att178","numeric"
179,"Att179","numeric"
180,"Att180","numeric"
181,"Att181","numeric"
182,"Att182","numeric"
183,"Att183","numeric"
184,"Att184","numeric"
185,"Att185","numeric"
186,"Att186","numeric"
187,"Att187","numeric"
188,"Att188","numeric"
189,"Att189","numeric"
190,"Att190","numeric"
191,"Att191","numeric"
192,"Att192","numeric"
193,"Att193","numeric"
194,"Att194","numeric"
195,"Att195","numeric"
196,"Att196","numeric"
197,"Att197","numeric"
198,"Att198","numeric"
199,"Att199","numeric"
200,"Att200","numeric"
201,"Att201","numeric"
202,"Att202","numeric"
203,"Att203","numeric"
204,"Att204","numeric"
205,"Att205","numeric"
206,"Att206","numeric"
207,"Att207","numeric"
208,"Att208","numeric"
209,"Att209","numeric"
210,"Att210","numeric"
211,"Att211","numeric"
212,"Att212","numeric"
213,"Att213","numeric"
214,"Att214","numeric"
215,"Att215","numeric"
216,"Att216","numeric"
217,"Att217","numeric"
218,"Att218","numeric"
219,"Att219","numeric"
220,"Att220","numeric"
221,"Att221","numeric"
222,"Att222","numeric"
223,"Att223","numeric"
224,"Att224","numeric"
225,"Att225","numeric"
226,"Att226","numeric"
227,"Att227","numeric"
228,"Att228","numeric"
229,"Att229","numeric"
230,"Att230","numeric"
231,"Att231","numeric"
232,"Att232","numeric"
233,"Att233","numeric"
234,"Att234","numeric"
235,"Att235","numeric"
236,"Att236","numeric"
237,"Att237","numeric"
238,"Att238","numeric"
239,"Att239","numeric"
240,"Att240","numeric"
241,"Att241","numeric"
242,"Att242","numeric"
243,"Att243","numeric"
244,"Att244","numeric"
245,"Att245","numeric"
246,"Att246","numeric"
247,"Att247","numeric"
248,"Att248","numeric"
249,"Att249","numeric"
250,"Att250","numeric"
251,"Att251","numeric"
252,"Att252","numeric"
253,"Att253","numeric"
254,"Att254","numeric"
255,"Att255","numeric"
256,"Att256","numeric"
257,"Att257","numeric"
258,"Att258","numeric"
259,"Att259","numeric"
260,"Att260","numeric"
261,"Att261","numeric"
262,"Att262","numeric"
263,"Att263","numeric"
264,"Att264","numeric"
265,"Att265","numeric"
266,"Att266","numeric"
267,"Att267","numeric"
268,"Att268","numeric"
269,"Att269","numeric"
270,"Att270","numeric"
271,"Att271","numeric"
272,"Att272","numeric"
273,"Att273","numeric"
274,"Att274","numeric"
275,"Att275","numeric"
276,"Att276","numeric"
277,"Att277","numeric"
278,"Att278","numeric"
279,"Att279","numeric"
280,"Att280","numeric"
281,"Att281","numeric"
282,"Att282","numeric"
283,"Att283","numeric"
284,"Att284","numeric"
285,"Att285","numeric"
286,"Att286","numeric"
287,"Att287","numeric"
288,"Att288","numeric"
289,"Att289","numeric"
290,"Att290","numeric"
291,"Att291","numeric"
292,"Att292","numeric"
293,"Att293","numeric"
294,"Att294","numeric"
