"dataset","grid_neighborhood","grid_size_x","grid_size_y","n_configs","qe_medio","qe_mediano","qe_min","qe_max","qe_dp"
"emotions","bubble",2,2,486,0.481276407220638,0.479669450573871,0.45536995332888,0.602550516579581,0.0237177851800822
"emotions","bubble",2,3,486,0.347331486887033,0.34309566045865,0.305391531709529,0.443058235632068,0.0244769192331792
"emotions","bubble",3,2,486,0.341338113397825,0.344120030771349,0.3050913739109,0.420562384010154,0.0223012875810282
"emotions","bubble",3,3,486,0.236669906092987,0.235406665111666,0.174804490020202,0.324155200340114,0.0318153130686311
"emotions","gaussian",2,2,486,0.577410401248512,0.577543676144491,0.532629247751393,0.653021073249667,0.0242546120980367
"emotions","gaussian",2,3,486,0.429026027898244,0.421991023532419,0.381303519522054,0.473783494854688,0.0296432977157755
"emotions","gaussian",3,2,486,0.436906585795512,0.436643585984664,0.377562794790394,0.475962975822875,0.0261247288489631
"emotions","gaussian",3,3,486,0.298060730682311,0.294943512285618,0.245592867048398,0.393156015518397,0.0320735062205488
"flags","bubble",2,2,486,0.827932398465216,0.828831398617544,0.776036107760874,0.945834411581062,0.0322445963257726
"flags","bubble",2,3,486,0.692271248829139,0.690873770576537,0.6235341103462,0.785219417020718,0.028819454371868
"flags","bubble",3,2,486,0.688596656715996,0.68764537325754,0.625520787966179,0.800517103747136,0.0275477666039515
"flags","bubble",3,3,486,0.568132205898256,0.564854637127372,0.498384189879059,0.65439869883583,0.0258865428280062
"flags","gaussian",2,2,486,0.887303033296806,0.887465710144004,0.83031572238727,0.968634386908806,0.0295050930776198
"flags","gaussian",2,3,486,0.767291421437236,0.76647044015921,0.699977064889004,0.84360553975333,0.0264322424704194
"flags","gaussian",3,2,486,0.768201230488796,0.76876977389729,0.709250230119449,0.841289025984398,0.0230783212611162
"flags","gaussian",3,3,486,0.628327700696772,0.6267804168596,0.387584691075912,0.711443642957719,0.0275317158978908
"scene","bubble",2,2,486,0.372701470417,0.371788116286627,0.357500698171968,0.509574967498744,0.0100604069605391
"scene","bubble",2,3,486,0.0775935277740031,0.0661321610477207,0.065113713424333,0.222117757312787,0.0387035357012655
"scene","bubble",3,2,486,0.0911895593905608,0.0660928157368507,0.0651257741026632,0.222741308223758,0.0543491985081351
"scene","bubble",3,3,486,0.0901340933382234,0.0321967757452255,0.0168472630822225,0.482906601107592,0.149394613450548
"scene","gaussian",2,2,486,0.44521768450387,0.444527585155069,0.422349742980284,0.467905848290163,0.00885894583375341
"scene","gaussian",2,3,486,0.189863670377086,0.196310767788621,0.167898526037318,0.417897318048834,0.0318604633376277
"scene","gaussian",3,2,486,0.188240648184395,0.196140906261494,0.169031809640972,0.389427757583951,0.0247501764958978
"scene","gaussian",3,3,486,0.438352892756516,0.491749199834556,0.105580940340907,0.531103252385991,0.149279856408284
